Row Labels,Region,Chinook,Scokeye,Coho,Pink,Chum,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ALL,"77,495","2,319,615","936,259","77,896,371","11,327,248","92,556,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ALL,"43,861","1,758,419","536,275","11,526,801","9,914,308","23,779,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,ALL,"42,045","1,447,642","625,758","30,234,269","14,270,961","46,620,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,ALL,"41,402","1,771,853","714,637","23,280,580","13,091,246","38,899,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,SE,NA,NA,0,"108,173",NA,"108,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,SE,NA,NA,NA,0,"2,214","2,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,SE,445,NA,0,"33,555","1,514","35,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,SE,"4,388",NA,0,500,"5,627","10,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,SE,"1,504",NA,"47,823","139,000","3,286","191,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,SE,"3,352",NA,"82,458","16,568","64,874","167,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,SE,"1,175",NA,"78,918","163,494","196,523","440,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,SE,"5,234",NA,"134,482","235,694","1,465,670","1,841,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,SE,"10,039",NA,"180,821","911,977","931,267","2,034,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,SE,"14,045","18,600","378,044","116,114","1,035,304","1,562,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,SE,"22,486","36,000","134,157","1,370,029","1,236,283","2,798,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,SE,"28,585","20,400","38,414","124,571","1,251,471","1,463,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,SE,"34,810","36,672","68,258","859,426","596,879","1,596,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,SE,"64,464","113,400","445,739","1,319,810","785,933","2,729,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,SE,"71,440","112,332","764,941","1,774,348","1,190,607","3,913,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,SE,"52,375","188,126","840,323","3,515,448","2,114,365","6,710,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,SE,"53,040","363,468","549,540","688,861","4,663,502","6,318,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,SE,"42,222","171,702","850,474","5,787,031","6,938,082","13,789,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,SE,"77,090","211,343","646,138","1,530,366","7,595,023","10,059,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,SE,"87,724","482,314","705,874","2,009,727","11,861,241","15,146,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,SE,"65,115","352,567","545,079","2,447,974","9,866,592","13,277,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,SE,"34,987","237,127","730,391","2,235,834","11,553,028","14,791,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,SE,"46,792","137,872","976,683","4,087,903","11,386,520","16,635,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,SE,"81,955","259,611","562,678","438,750","12,689,973","14,032,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,SE,"91,462","390,365","911,015","2,346,847","5,642,197","9,381,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,SE,"85,780","120,106","1,321,514","1,924,064","5,613,259","9,064,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,SE,"88,166","118,894","884,519","929,740","8,947,620","10,968,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,SE,"116,575","555,871","641,779","1,464,011","8,072,702","10,850,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,SE,"72,372","240,060","641,025","1,582,244","4,644,569","7,180,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
